-UnoccupiedTiles count = r
-event room = n  -event tiles -event nums
-id = i
-texture num = t
-map width = w
-map height = h
-num of doors/door indexs = d [location], [location] 
-Room Names = m
- Room Indexes = l
-Start locations = x
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
r,2,3,4,9,10,11,16,17,18,21,22,23,24,25
n,false
i,6
t,7
w,7
h,5
d,0,34,14,28
m,Storage Room,Lower Hallway,Lower Passage,Theatre
l,4,7,19,11
x,26,0,29,23
e,19
o,31
oi,0
stt,knockback,help
sti,30,8
ex,12
