-UnoccupiedTiles count = r
-event room = n  -event tiles -event nums
-id = i
-texture num = t
-map width = w
-map height = h
-num of doors/door indexs = d [location], [location] 
-Room Names = m
- Room locations = l
-Start Indexes = x
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
r,8,9,11,14,15,16,18,20,23,25,32,34,50,51,52
i,20
t,7
w,9
h,6
d,46
m,Lower Passage
l,19
x,1
e,1,15,24
o,7,42
oi,0,7
stt,pullin,reposition
sti,19,41
st,19,41,22,44
