-UnoccupiedTiles count = r 
-event room = n  -event tiles -event nums 
-id = i 
-texture num = t 
-map width = w 
-map height = h 
-num of doors/door indexs = d [location], [location] 
-Room Names = m 
- Room locations = l 
-Start Indexes = x 
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
i,36
w,9
h,7
r,18,20,21,22,23,24,26,27,29,33,35,54,55,61,62
st,0,8,9,17,36,44,45,53,56,60
d,4
m,Play Room
l,42
x,73
