-UnoccupiedTiles count = r
-event room = n  -event tiles -event nums
-id = i
-texture num = t
-map width = w
-map height = h
-num of doors/door indexs = d [location], [location] 
-Room Names = m
- Room locations = l
-Start Indexes = x
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
r,2,9,17,26,31,29,30,32,33,36,15,16,18,19,8,15,29
n,false
i,5
t,1
w,7
h,6
d,0,27,35,37,3
m,Art Gallery, Foyer,Training Room,Training Room,Private Study
l,8,16,24,24,0
x,49,0,1,3,43
e,12
g,21,24
gi,2,3
gr,5
o,10
oi,4
