-UnoccupiedTiles count = r 
-event room = n  -event tiles -event nums 
-id = i 
-texture num = t 
-map width = w 
-map height = h 
-num of doors/door indexs = d [location], [location] 
-Room Names = m 
- Room locations = l 
-Start Indexes = x 
-num of enemies / enemy indexs = e [location], [location] 
-num of rando glyphs / glyph indexes = g [location], [location] 
-num of lock glyphs / lock glyph indexes = gi [location], [location] 
-num of shops/shop index = s [location], [location] 
-num objs/ obj indexs = o [location], [location] 
-obj ids = oi [location], [location] 
i,-12
w,4
h,3
 r,0,8
 st,1,3,9,11
 sti,2,5,6,7,10
 stt,pullin,saveLoad,help,swap,knockback
 d,4
